transit_depth_ppm,logg_cgs,stellar_pmra,t0_bjd,ra_deg,teq_k,radius_solar,dor_ratio,mag_tess,ecc,ror_ratio,teff_k,insolation,snr,impact_param,mass_solar,duration_hours,feh_dex,rp_re,mag_kepler,num_transits,dec_deg,stellar_pmdec,period_days,stellar_distance,prediction,confidence
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.666,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.18%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.2,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.666,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,98.84%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,2.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.666,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,98.72%
1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,13.8529,1.0,1.0,1.0,1.0,35.8,1.0,1.0,1.0,0.666,1.0,15.347,1.0,1.0,1.0,1.0,1.0,False Positive,56.18%
1.0,10.0,1.0,1.0,1.0,1.0,11.0,1.0,13.8529,1.0,1.0,1.0,1.0,35.8,1.0,1.0,1.0,0.666,1.0,15.347,1.0,1.0,1.0,1.0,1.0,Confirmed Exoplanet,61.75%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,1.0,1.0,1.0,1.0,793.0,0.927,1.0,11.0,11.0,1.0,1.0,11.0,1.0,0.146,1.0,11.0,1.0,1.0,15.347,1.0,11.0,-3.127546583696797,1.0,1.0,False Positive,83.96%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,1.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.42%
615.8,5.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.03%
615.8,1.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.2,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,98.63%
615.8,1.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,100.0,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.24%
615.8,1.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.34%
615.8,1.0,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,50.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,66.21%
615.8,1.0,29.219819240315065,2455003.539,291.93423,100.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,50.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,63.54%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,50.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,62.58%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,100.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,62.58%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,100.0,15.347,142.0,48.141651,-3.127546583696797,40.0,116.46147859750828,Confirmed Exoplanet,62.90%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,200.0,15.347,142.0,48.141651,-3.127546583696797,40.0,116.46147859750828,Confirmed Exoplanet,61.99%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,200.0,10.0,142.0,48.141651,-3.127546583696797,40.0,116.46147859750828,Confirmed Exoplanet,50.64%
615.8,1.0,29.219819240315065,2455003.539,291.93423,1000.0,0.927,24.81,13.8529,1.0,0.022344,5455.0,15.0,35.8,0.146,100.0,2.9575,0.14,200.0,10.0,142.0,48.141651,-3.127546583696797,40.0,116.46147859750828,False Positive,53.18%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,1.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,100.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,False Positive,51.84%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,1.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,100.0,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,False Positive,51.84%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
615.8,4.467,29.219819240315065,2455003.539,291.93423,793.0,0.927,24.81,13.8529,0.0,0.022344,5455.0,93.59,35.8,0.146,0.919,2.9575,0.14,2.26,15.347,142.0,48.141651,-3.127546583696797,9.48803557,116.46147859750828,Confirmed Exoplanet,99.20%
